Chemical,Demand by society 2030 (MMT),Total price 2030 (billion USD),Total GHG emissions 2030  (MMT CO2 eq),Total fossil fuel depletion 2030 (MMT oil eq),"Total human toxicity 2030 (MMT 1,4-DCB eq)",Total land use 2030 (km2*a crop eq),Total water depletion 2030 (km3),Demand by society 2050 (MMT),Total price 2050 (billion USD),Total GHG emissions 2050  (MMT CO2 eq),Total fossil fuel depletion 2050 (MMT oil eq),"Total human toxicity 2050 (MMT 1,4-DCB eq)",Total land use 2050 (km2*a crop eq),Total water depletion 2050 (km3),product_name,product_flow,excess
"1,4-Butanediol",0.246895228,0.467125772,1.154728982,0.41700604,0.901661373,27.40512344,0.061353464,0.281053036,0.531752344,1.314485049,0.474698578,1.026405687,31.19660593,0.069841679,"1,4-Butanediol",0.28105303599999987,1.1102230246251565e-16
2-Ethylhexanol,0.467912613,0.760357995,1.138431386,0.726574705,0.143181259,1.824859189,0.003773715,0.565315922,0.918638373,1.375413638,0.877822563,0.172986672,2.204732095,0.004559273,2-Ethylhexanol,0.565315922,0.0
Acetic acid,2.105877597,1.059256431,4.668730633,2.354371153,4.036967353,79.35157373,0.117086794,3.587913766,1.804720624,7.954404819,4.01128759,6.878030689,135.1961786,0.199488005,Acetic acid,3.587913766,0.0
Acetic anhydride,0.832482844,1.156485167,3.468123529,1.381089039,2.74552842,65.98092527,0.163166637,1.08855494,1.512220522,4.534919879,1.805912645,3.590054191,86.27668742,0.213356768,Acetic anhydride,1.08855494,0.0
Acetone,1.125517861,0.962767978,1.81546031,0.994957789,1.376508344,20.4990568,0.02082208,0.902148899,0.771698168,1.455166173,0.797499626,1.103328103,16.43083789,0.016689755,Acetone,1.1255178610001597,0.22336896200015977
Acrylic acid,1.182265235,1.743841221,2.725121366,1.288669106,1.306403084,18.85121917,0.013714277,1.372827642,2.024920772,3.164367716,1.49638213,1.516974545,21.88973676,0.015924801,Acrylic acid,1.372827642,0.0
Acrylonitrile,1.009905038,1.443659251,3.664945382,1.796621062,1.719868279,31.71909743,0.046455632,1.269399377,1.814606409,4.606650338,2.258261491,2.161787139,39.86929563,0.058392371,Acrylonitrile,1.269399377,0.0
Adipic acid,0.860368327,1.329914342,7.554033914,1.631258349,2.611217873,95.78136441,0.035016991,1.092181119,1.688238965,9.589350225,2.070775402,3.314769696,121.5881553,0.044451772,Adipic acid,1.092181119,0.0
Aniline,0.246874592,0.306175927,1.189441786,0.483627327,1.959937389,15.6562929,0.01525685,0.40849777,0.506622339,1.968142256,0.800247131,3.243063796,25.90611158,0.025245162,Aniline,0.40849777,0.0
Benzene,0.229841196,0.178080958,0.43830716,0.344302111,0.13077964,2.250145306,0.006987172,0.239211637,0.185341176,0.456176592,0.358339032,0.136111421,2.341881925,0.007272034,Benzene,0.23921163699999995,5.551115123125783e-17
Bisphenol-A,0.733073699,1.315378573,2.73509797,1.466147397,2.038677956,32.39086138,0.034234542,0.704301258,1.263751223,2.627747992,1.408602515,1.958661797,31.11955107,0.032890869,Bisphenol-A,0.733073699,0.028772440999999982
Butadiene,0.97574913,0.938046823,1.16602021,1.387515263,0.050738955,0.051714704,0.006732669,0.995450622,0.956987063,1.189563493,1.415530784,0.051763432,0.052758883,0.006868609,Butadiene,0.9954506219999997,3.3306690738754696e-16
Butanol,1.018698594,1.426178031,3.742698633,1.901910274,2.965431606,68.00322462,0.02862543,1.148167689,1.607434764,4.218368089,2.143629075,3.342316142,76.64593407,0.032263512,Butanol,1.148167689,0.0
Butylene,9.273274241,6.326227687,14.86505861,13.05677013,0.85314123,1.372444588,0.14744506,12.12573755,8.272178155,19.43755729,17.07303847,1.115567854,1.794609157,0.192799227,Butylene,12.125737549999984,1.5987211554602254e-14
Caprolactam,0.477002067,0.873629286,4.756187613,1.832641943,-8.006002698,18.74618125,0.033617198,0.506452736,0.927568186,5.049840231,1.945791412,-8.500302722,19.90359253,0.035692763,Caprolactam,0.506452736,0.0
Chloroform,0.159295004,0.118754426,0.671428443,0.104816113,0.841236917,4.760371907,0.003743433,0.241388734,0.179955301,1.017453515,0.158833787,1.274773906,7.213660936,0.005672635,Chloroform,0.24138873400000002,2.7755575615628914e-17
Cyclohexanol-cyclohexanone,0.029255067,0.043443775,0.105727814,0.055043409,0.141082563,1.840041353,0.001300388,0.046554112,0.069132856,0.16824656,0.087591561,0.224507204,2.928090688,0.00206933,Cyclohexanol-cyclohexanone,0.046554112,0.0
Epichlorohydrin,0.237227709,0.325476417,0.789731043,0.281352063,0.705752434,14.98259042,0.010082178,0.242017608,0.332048158,0.805676617,0.287032883,0.720002384,15.28510607,0.010285748,Epichlorohydrin,0.242017608,0.0
Ethanol,45.285285,35.2027564,39.12648624,5.70594591,75.85285238,50511.11632,6.498438398,53.10895395,41.28452694,45.88613621,6.691728198,88.95749787,59237.62102,7.621134892,Ethanol,53.10895395000015,1.4921397450962104e-13
Ethylene,28.72178162,18.18088777,41.58913979,40.95726059,2.240298967,2.082329168,0.301578707,37.18778257,23.53986637,53.84790916,53.02977794,2.90064704,2.696114236,0.390471717,Ethylene,37.187782570000024,2.1316282072803006e-14
Ethylene glycol,6.11686689,5.401193463,12.48452532,6.722436712,10.59441345,156.8487008,0.114997098,9.000644986,7.947569523,18.37031642,9.89170884,15.58911712,230.7945387,0.169212126,Ethylene glycol,9.000644986000001,1.7763568394002505e-15
Ethylene oxide,2.62986142,3.140054535,6.256440318,3.734403216,3.5923907,49.05217521,0.061538757,4.703919524,5.616479912,11.19062455,6.679565724,6.42555407,87.73750697,0.110071717,Ethylene oxide,4.703919524,0.0
Formaldehyde,5.192515894,2.419928761,5.763692642,4.356520835,4.398060962,74.72549623,0.033751353,7.274395225,3.390171275,8.0745787,6.103217594,6.161412756,104.6858217,0.047283569,Formaldehyde,7.274395224999999,8.881784197001252e-16
Glycerol,0.609199138,0.446999867,2.118794601,0.259518833,1.704539188,2273.271054,0.125738702,0.812456855,0.596140217,2.825724942,0.34610662,2.273254281,3031.742064,0.167691095,Glycerol,0.812456855,0.0
Hexamethylenediamine,0.818774495,1.930160202,3.957955907,1.771828006,3.341418712,35.61177787,0.029557759,0.913704585,2.153946219,4.416847964,1.977256722,3.728828412,39.74066722,0.032984736,Hexamethylenediamine,0.913704585,0.0
Isophthalic acid,0.188475701,0.315131372,0.735997611,0.358857734,0.559207404,9.859729333,0.008368321,0.248894023,0.416150806,0.971931158,0.473894219,0.738468565,13.020393,0.011050895,Isophthalic acid,0.248894023,0.0
Isopropanol,0.452470505,0.067169247,1.066925452,0.631196355,0.878245251,8.545357965,0.006425081,0.421828905,0.062620501,0.994672558,0.588451322,0.818769904,7.966660697,0.00598997,Isopropanol,0.452470505,0.030641600000000047
Lactic acid,0.365649969,0.790718058,1.067808643,0.631477496,1.319630737,20.89945527,0.020915178,0.507239657,1.096905758,1.481293412,0.876002888,1.830627922,28.99229707,0.029014108,Lactic acid,0.5072396569999973,2.6645352591003757e-15
Lysine,0.556514948,0.706773984,2.636055765,1.071625185,3.629312236,599.7561599,0.166737444,0.818882211,1.039980407,3.878816154,1.576839585,5.340340336,882.5093583,0.245345299,Lysine,0.818882211,0.0
Maleic anhydride,0.297802701,0.499355569,0.957733486,0.453851316,0.396077592,7.777713136,0.004794623,0.366990641,0.615369907,1.180241902,0.559293737,0.488097553,9.584694572,0.005908549,Maleic anhydride,0.366990641,0.0
Methanol,2.931264174,0.981933344,2.239485829,2.201379395,0.762128685,14.20197493,0.014656321,4.850296123,1.624782759,3.705626238,3.642572389,1.261076992,23.49968472,0.024251481,Methanol,4.850296123,0.0
Methionine,0.340883179,0.859025611,1.080940561,0.577796989,0.422013376,7.765318819,0.00811302,0.506534472,1.27646687,1.606220812,0.858575931,0.627089677,11.53885528,0.01205552,Methionine,0.506534472,0.0
Methyl chloride,0.46615552,0.430145006,0.948160327,0.424667679,0.665670082,11.79373465,0.011610069,0.385141599,0.35538941,0.783378011,0.350863996,0.549982203,9.744082443,0.009592337,Methyl chloride,0.46615551999999993,0.08101392099999993
Methyl tert-butyl ether,0.629893801,0.397337009,0.74075511,0.779178631,0.437776191,6.445703262,0.004409257,0.840056239,0.529907475,0.987906137,1.039149567,0.583839086,8.596295491,0.005880394,Methyl tert-butyl ether,0.8400562389999999,1.1102230246251565e-16
Methylamine,0.278543831,0.342608912,1.006100318,0.422829536,0.570457766,12.81357332,0.014122172,0.346670316,0.426404489,1.252173181,0.52624554,0.709980807,15.94752788,0.017576185,Methylamine,0.346670316,0.0
Methylene diphenyl diisocyanate,1.73499071,4.252462229,11.01198603,4.108458,15.86128507,165.641298,0.144524726,2.478864076,6.075695849,15.73335029,5.869950131,22.66177538,236.6596322,0.206489377,Methylene diphenyl diisocyanate,2.478864076,0.0
Phenol,0.840842781,0.970837075,2.759646009,1.638802581,1.687571462,26.88090288,0.037922009,0.892757404,1.030777698,2.930029799,1.73998418,1.791764109,28.54056144,0.040263359,Phenol,0.8927574039999943,5.773159728050814e-15
Phosgene,3.088467974,6.794629542,7.0108223,2.362678,7.647046703,126.8279373,0.128171421,5.011668735,11.02567122,11.37648803,3.833926582,12.40889179,205.8041766,0.207984253,Phosgene,5.011668735000001,8.881784197001252e-16
Phthalic anhydride,0.26632348,0.289681359,0.685516638,0.418660511,0.308136267,9.438504136,0.008122866,0.306195545,0.333050401,0.788147334,0.481339398,0.354268246,10.85157013,0.009338964,Phthalic anhydride,0.30619554499999996,5.551115123125783e-17
Propylene,10.45674677,8.842225065,15.58055268,15.23548004,0.857453235,0.799941128,0.109795841,11.55361325,9.769735367,17.21488375,16.83361451,0.947396287,0.883851414,0.121312939,Propylene,11.55361324999998,1.9539925233402755e-14
Propylene glycol,0.577937796,0.855347938,2.58800545,1.018326397,2.78219255,43.64008298,0.054557328,0.677784667,1.003121306,3.035119737,1.194256582,3.262855385,51.17952017,0.063982873,Propylene glycol,0.677784667,0.0
Propylene oxide,1.434268385,1.878891585,7.059468992,2.927341774,6.941858984,113.5581994,0.148016497,1.665449705,2.181739113,8.197343446,3.399182847,8.06077657,131.8619804,0.17187441,Propylene oxide,1.6654497050000001,2.220446049250313e-16
Sorbitol,0.390779461,0.409927654,0.504681838,0.302213204,1.248813922,144.2757768,0.064826405,0.440444654,0.462026442,0.568823186,0.340622278,1.407528982,162.6121664,0.073065364,Sorbitol,0.440444654,0.0
Styrene,3.114634829,3.365362932,10.24714859,6.070423281,4.752932749,106.95656,0.100602705,3.652731736,3.94677664,12.01748741,7.119174153,5.574068629,125.4348078,0.117983235,Styrene,3.652731736,0.0
Terephthalic acid,4.798910575,3.686523103,9.847364499,5.744295958,6.214589194,93.66993551,0.133889605,8.096955105,6.220080912,16.61495188,9.692055261,10.48555686,158.0444667,0.225905047,Terephthalic acid,8.096955105,0.0
Tetrahydrofuran,0.125566423,0.244854524,0.774619261,0.275492731,0.661735047,19.26176366,0.040708634,0.151705032,0.295824813,0.935868343,0.332840841,0.79948552,23.27140023,0.049182771,Tetrahydrofuran,0.151705032,0.0
Toluene,5.554946441,3.896239434,8.94346377,7.615831571,0.622154001,13.85403642,0.196089609,7.051639894,4.946020221,11.35314023,9.667798294,0.789783668,17.5867899,0.248922888,Toluene,7.051639894000001,8.881784197001252e-16
Toluene diisocyanate,0.455162407,1.463347137,3.291734524,1.0969414,5.25029836,48.82800233,0.04915754,0.601070599,1.932441974,4.346942569,1.448580143,6.933349355,64.48044953,0.064915625,Toluene diisocyanate,0.601070599,0.0
Vinyl acetate,1.439374809,1.694432025,3.936690103,2.066942226,3.389727675,63.06908601,0.089241238,2.476341345,2.915149031,6.772793578,3.556026171,5.831783867,108.5058487,0.153533163,Vinyl acetate,2.4763413450000002,4.440892098500626e-16
Vinyl chloride,11.68992144,7.462666005,23.13435454,12.09906869,20.63271135,289.3138658,0.289910052,17.88870953,11.41987695,35.40175615,18.51481436,31.57357231,442.727672,0.443639996,Vinyl chloride,17.88870953,0.0
Xylenes,2.539894809,1.793673714,4.447355811,3.59141126,0.353045378,6.382755655,0.072640992,3.664682862,2.587999037,6.416859692,5.181861567,0.509390918,9.209348033,0.10480993,Xylenes,3.664682861999983,1.687538997430238e-14
